bus_i,link,lon,lat,typ,State,BA_Assumption
17632,source,-80.839894,35.415492,substation,NC,DUK
17633,source,-80.67492443,35.53442354,substation,NC,DUK
18280,source,-80.088763,34.763909,substation,Outside of NC,CPLE
18493,source,-78.344442,35.566354,joint,NC,CPLE
18688,source,-79.922722,34.973165,joint,NC,DUK
18689,source,-78.011872,33.960801,joint,NC,CPLE
18690,sink,-81.394848,35.753154,joint,Outside of NC,DUK
18691,source,-81.459481,35.797044,joint,Outside of NC,DUK
18692,source,-79.19543,36.515853,joint,NC,DUK
18693,source,-77.993321,35.088535,joint,NC,CPLE
18694,source,-80.290677,36.029031,joint,NC,DUK
18696,source,-78.64134,36.374054,joint,NC,DUK
18697,source,-77.082047,36.260093,joint,NC,PJM
18698,source,-79.183665,34.915322,joint,NC,CPLE
18699,source,-79.230755,35.481161,joint,NC,CPLE
18700,sink,-81.927557,35.722922,joint,Outside of NC,CPLW
18703,sink,-80.8534,35.416615,joint,NC,DUK
18704,source,-77.645435,36.483123,joint,NC,PJM
18705,sink,-79.034182,36.472623,joint,NC,DUK
18706,source,-79.708185,35.747186,joint,NC,DUK
18707,source,-79.747085,35.761003,joint,NC,DUK
18708,source,-79.624577,35.791316,joint,NC,DUK
18709,sink,-79.649394,35.748362,joint,NC,DUK
18710,source,-79.761216,35.741471,joint,NC,DUK
18865,source,-78.437822,36.299996,joint,NC,CPLE
18866,source,-78.487007,36.321519,joint,NC,CPLE
18867,source,-77.915774,36.476443,joint,NC,CPLE
18868,sink,-78.082852,35.220516,joint,NC,CPLE
18869,source,-77.841805,35.817673,joint,NC,CPLE
18870,sink,-80.62708,36.135016,joint,NC,DUK
18990,source,-77.565307,36.606383,joint,Outside of NC,PJM
18992,sink,-78.292137,36.596158,joint,Outside of NC,PJM
19221,source,-78.825456,35.750139,joint,NC,DUK
19222,sink,-78.944752,35.65586,joint,NC,DUK
19223,sink,-78.80174,35.797475,joint,NC,DUK
19224,sink,-78.766887,35.889796,joint,NC,DUK
19230,source,-78.685595,35.788088,joint,NC,DUK
19233,sink,-78.692485,35.807958,joint,NC,DUK
19358,source,-80.617234,36.446427,joint,NC,DUK
19634,source,-77.955035,34.147496,joint,NC,CPLE
20153,source,-79.049295,35.995728,joint,NC,DUK
20311,source,-77.656544,36.477205,joint,NC,CPLE
20562,source,-79.1038,36.474148,joint,NC,DUK
20880,source,-78.864004,36.094228,joint,NC,DUK
